Classificação;Classificação.1;P;J;V;E;D;GP;GC;SG;%
1;BotafogoBOT;18;7;6;0;1;14;6;8;85
2;PalmeirasPAL;15;7;4;3;0;16;6;10;71
3;FluminenseFLU;13;7;4;1;2;12;6;6;61
4;Atlético-MGCAM;13;7;4;1;2;11;6;5;61
5;CruzeiroCRU;12;7;4;0;3;11;6;5;57
6;FlamengoFLA;12;7;4;0;3;13;9;4;57
7;Athletico-PRCAP;12;7;4;0;3;10;9;1;57
8;São PauloSAO;12;7;3;3;1;12;6;6;57
9;SantosSAN;11;7;3;2;2;8;5;3;52
10;GrêmioGRE;11;7;3;2;2;10;10;0;52
11;FortalezaFOR;10;7;2;4;1;10;6;4;47
12;BragantinoRBB;10;7;2;4;1;11;11;0;47
13;BahiaBAH;7;7;2;1;4;9;12;-3;33
14;CuiabáCUI;7;7;2;1;4;6;12;-6;33
15;InternacionalINT;7;7;2;1;4;5;11;-6;33
16;GoiásGOI;7;7;2;1;4;6;13;-7;33
17;VascoVAS;6;7;1;3;3;8;11;-3;28
18;CorinthiansCOR;5;7;1;2;4;6;12;-6;23
19;América-MGAME;4;7;1;1;5;7;18;-11;19
20;CoritibaCFC;2;7;0;2;5;6;16;-10;9
